C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:118:	LawOfDemeter:	Potential violation of Law of Demeter (method chain calls)
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:119:	ControlStatementBraces:	This statement should have braces
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:124:	LooseCoupling:	Avoid using implementation types like 'ArrayList'; use the interface instead
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:128:	LooseCoupling:	Avoid using implementation types like 'ArrayList'; use the interface instead
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:140:	MethodArgumentCouldBeFinal:	Parameter 'player' is not assigned and could be declared final
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:148:	MethodArgumentCouldBeFinal:	Parameter 'currentTurnCount' is not assigned and could be declared final
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:156:	MethodArgumentCouldBeFinal:	Parameter 'listener' is not assigned and could be declared final
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:160:	MethodArgumentCouldBeFinal:	Parameter 'army' is not assigned and could be declared final
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:160:	MethodArgumentCouldBeFinal:	Parameter 'targetName' is not assigned and could be declared final
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:160:	CyclomaticComplexity:	The method 'targetCity(Army, String)' has a cyclomatic complexity of 12.
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:160:	NPathComplexity:	The method 'targetCity(Army, String)' has an NPath complexity of 216, current threshold is 200
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:162:	OnlyOneReturn:	A method should have only one exit point, and that should be the last statement in the method
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:162:	ControlStatementBraces:	This statement should have braces
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:164:	LocalVariableCouldBeFinal:	Local variable 'c' could be declared final
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:165:	LawOfDemeter:	Potential violation of Law of Demeter (method chain calls)
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:165:	LawOfDemeter:	Potential violation of Law of Demeter (method chain calls)
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:166:	ControlStatementBraces:	This statement should have braces
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:169:	LawOfDemeter:	Potential violation of Law of Demeter (method chain calls)
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:169:	CollapsibleIfStatements:	These nested if statements could be combined
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:170:	ControlStatementBraces:	This statement should have braces
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:172:	LocalVariableCouldBeFinal:	Local variable 'from' could be declared final
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:173:	ShortVariable:	Avoid variables with short names like a
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:174:	LocalVariableCouldBeFinal:	Local variable 'd' could be declared final
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:175:	LawOfDemeter:	Potential violation of Law of Demeter (method chain calls)
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:175:	LawOfDemeter:	Potential violation of Law of Demeter (method chain calls)
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:175:	UselessParentheses:	Useless parentheses.
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:176:	LawOfDemeter:	Potential violation of Law of Demeter (method chain calls)
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:176:	LawOfDemeter:	Potential violation of Law of Demeter (method chain calls)
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:177:	LawOfDemeter:	Potential violation of Law of Demeter (method chain calls)
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:177:	LawOfDemeter:	Potential violation of Law of Demeter (method chain calls)
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:177:	UselessParentheses:	Useless parentheses.
C:\xampp\htdocs\GitHub Repositiries\Warehouse-Facility-Project\WarehouseFacility\src\Storage\SubWarehouse.java:178:	LawOfDemeter:	Potential violation of Law of Demeter (method chain calls)
